,identifiant_unique,ville_code_postal
0,lescreadevicky_203741_reparation_0633175984,MONTCHANIN 71210
1,bijouterie_obrecht_93995_reparation,MOOSCH 68690
2,amberley_design_services_172205_reparation_0546861272,BOISREDON 17150
3,bijoux_enora_19597_reparation_0669640932,SAINTE MAXIME 83120
4,simonet_lionel_213050_reparation_0680960766,VAIRES SUR MARNE 77360
5,sarl_bimob_60746_reparation_0232580314,NONANCOURT 27320
6,bernard_emilie_139818_reparation_0676243532,SAVIGNEUX 42600
7,ulmaison_cotieredombes_vestiaire_60664_sinoe_0469184401,LOYETTES 01360
8,geffroy_tyffanie_143650_reparation,PEZENAS 34120
9,atelier_valinor_183264_reparation_0450528923,CRUSEILLES 74350
10,agriprocenter_132363_reparation_0613946527,MORSCHWILLER 67350
11,azur_decoration_interieur_205615_reparation_0620563004,MANDELIEU LA NAPOULE 06210
12,paya_frederic_173528_reparation_0626141299,EYSINES 33320
13,maleplate_maxime_190876_reparation_0680155360,BOULAZAC 24750
14,forestier_jeancyril_135757_reparation_0618599266,VILLORCEAU 45190
15,art_plus_cadre_exploitation_14391_reparation,VITROLLES 13127
17,mtb_33_mecanique_toutes_bicyclettes_173343_reparation_0680842072,TOULENNE 33210
18,mainemare_benjamin_122165_reparation,NULLEMONT 76390
19,sarl_delor_vincent_141314_reparation,MONTS - DE - RANDON 48700
20,tregor_nature_158188_reparation,LANNION 22300
21,capetek_13651_reparation,MARSEILLE-10E--ARRONDISSEMENT 13010
22,digiware_174772_reparation_0677228513,EYMET 24500
23,eldorado_153260_reparation,BREST 29200
24,sos_info_services_154156_reparation_0607063434,LOCUNOLÉ 29310
25,hatochi_abdellali_148876_reparation_0698057270,AUCH 32000
26,fournier_didier_162318_reparation_0636365133,BEGLES 33130
27,medicalandes_169493_reparation_0642422981,MIMIZAN 40200
28,klinic_informatic_specialiste_apple_et_microsoudure__drupal_m1224_0613151195,ST LEU D ESSERENT 60340
29,era_176035_reparation_0648318180,BLANQUEFORT 33290
30,prolaques_109175_reparation,SAINT JEANNET 06640
31,la_tournerie_198979_reparation_0612227673,LA CHAPELLE ST ANDRE 58210
32,bernard_michele_70814_reparation_0662748879,SAFFRE 44390
33,c_renov_101001_reparation,CRESPIN 59154
34,garage_landouzi_76680_reparation_0323974022,LUZOIR 02500
35,m_siad_mohamed_222357_reparation_0619767450,SORGUES 84700
37,cccreations_133540_reparation_0645968545,BOURGOIN JALLIEU 38300
38,2_roues_et_demi__cafe_cycles_du_buech_177805_reparation_0664537938,VEYNES 05400
39,pacaud_nicolas_139366_reparation_0607839411,SANTEAU 45170
40,m_asmus_david_54994_reparation,LILLE 59000
41,laoa_144296_reparation_0467308618,AGDE 34300
