,identifiant_unique,adresse,adresse_complement,code_postal,ville,st_x,st_y
0,lescreadevicky_203741_reparation_0633175984,3 IMPASSE DES TUILIERS,,71210,MONTCHANIN,4.46914,46.758914
1,bijouterie_obrecht_93995_reparation,24 RUE DE LA GARE,,68690,MOOSCH,7.051734,47.861574
2,amberley_design_services_172205_reparation_0546861272,4 LA TAILLEZERIE,,17150,BOISREDON,-0.5355886,45.3303143
3,bijoux_enora_19597_reparation_0669640932,2 CHEMIN DES VIRGILES,LE CAPET D AZUR BAT H23,83120,SAINTE MAXIME,6.6280625,43.3130868
4,simonet_lionel_213050_reparation_0680960766,66 RUE DU PARC,,77360,VAIRES SUR MARNE,2.63824,48.866954
5,sarl_bimob_60746_reparation_0232580314,30 B RUE HYPPOLITE LOZIER,,27320,NONANCOURT,1.192711,48.773491
6,bernard_emilie_139818_reparation_0676243532,1 DOMAINE DES CHAMPS FLEURIS,,42600,SAVIGNEUX,4.0874698,45.6094812
7,ulmaison_cotieredombes_vestiaire_60664_sinoe_0469184401,Place Maurice Reverdy,13 Rue du Bugey,01360,LOYETTES,5.214998702052,45.795197513459
8,geffroy_tyffanie_143650_reparation,14 B RUE ALFRED SABATIER,,34120,PEZENAS,3.422253,43.460929
9,atelier_valinor_183264_reparation_0450528923,320 RUE DES GRANGETTES,,74350,CRUSEILLES,6.111239,46.028599
10,agriprocenter_132363_reparation_0613946527,2 RTE DE BRUMATH,,67350,MORSCHWILLER,7.6335635,48.8182126
11,azur_decoration_interieur_205615_reparation_0620563004,347 ALLEE JACQUES CARTIER,BAT B B611,06210,MANDELIEU LA NAPOULE,6.935256,43.528244
12,paya_frederic_173528_reparation_0626141299,13 AVENUE DE PICOT,,33320,EYSINES,-0.64847,44.88369
13,maleplate_maxime_190876_reparation_0680155360,Avenue Edouard Boisserie,,24750,BOULAZAC,0.754201,45.174711
14,forestier_jeancyril_135757_reparation_0618599266,15 GRANDE RUE,,45190,VILLORCEAU,1.597972,47.799112
15,art_plus_cadre_exploitation_14391_reparation,RN 113,LIEU DIT LE LIOURAT,13127,VITROLLES,5.2319943,43.4692045
17,mtb_33_mecanique_toutes_bicyclettes_173343_reparation_0680842072,10 ALLEE DE LA CHENERAIE,,33210,TOULENNE,-0.270633,44.5505033
18,mainemare_benjamin_122165_reparation,RESIDENCE LE FORESTEL,,76390,NULLEMONT,1.64735,49.763538
19,sarl_delor_vincent_141314_reparation,ZA DU GEVAUDAN RIEUTORT DE RANDON,,48700,MONTS - DE - RANDON,3.474877,44.639825
20,tregor_nature_158188_reparation,RES DE LA HAUTE RIVE,,22300,LANNION,-3.466298,48.728588
21,capetek_13651_reparation,268 AVENUE DE LA CAPELETTE BT F,,13010,MARSEILLE-10E--ARRONDISSEMENT,5.413551,43.279042
22,digiware_174772_reparation_0677228513,2 ROUTE DE LA PLAINE DE BRETOU,APPARTEMENT 7 BATIMENT A,24500,EYMET,0.4023916,44.673775
23,eldorado_153260_reparation,11 RUE PAUL SABATIER,,29200,BREST,-4.465717,48.427725
24,sos_info_services_154156_reparation_0607063434,"4, Cité Croix Rouge",,29310,LOCUNOLÉ,-3.4726621,47.9359256
25,hatochi_abdellali_148876_reparation_0698057270,1 RUE MONTAIGNE,,32000,AUCH,0.5943183,43.6379325
26,fournier_didier_162318_reparation_0636365133,90 RUE PIERRE RENAUDEL,RES MOULIN D ARS APPT 23 ENT C,33130,BEGLES,-0.571688,44.8087387
27,medicalandes_169493_reparation_0642422981,28 RUE DU THEATRE,,40200,MIMIZAN,-1.225389,44.201392
