,identifiant_unique,result_type,result_housenumber,result_street,result_postcode,result_citycode,result_city,result_district,result_context,result_score,latitude,longitude,origin
0,bijoux_enora_19597_reparation_0669640932,housenumber,2,Chemin des Virgiles,83120,83115,Sainte-Maxime,,"83, Var, Provence-Alpes-Côte d'Azur",0.965511818181818,43.313837,6.628483,cas_32
1,ulmaison_cotieredombes_vestiaire_60664_sinoe_0469184401,street,,Place Maurice Reverdy,1360,01224,Loyettes,,"01, Ain, Auvergne-Rhône-Alpes",0.947222727272727,45.776089,5.208652,cas_32
2,azur_decoration_interieur_205615_reparation_0620563004,housenumber,347,Allée Jacques Cartier,6210,06079,Mandelieu-la-Napoule,,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",0.957643636363636,43.529101,6.93553,cas_32
3,art_plus_cadre_exploitation_14391_reparation,street,,Esplanade du liourat,13127,13117,Vitrolles,,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",0.5261172727272727,43.43577,5.258116,cas_31
4,digiware_174772_reparation_0677228513,housenumber,2,Route de la Plaine de Bretou,24500,24167,Eymet,,"24, Dordogne, Nouvelle-Aquitaine",0.9492027272727273,44.673668,0.40309,cas_32
5,fournier_didier_162318_reparation_0636365133,housenumber,90,Rue Pierre Renaudel,33130,33039,Bègles,,"33, Gironde, Nouvelle-Aquitaine",0.9687281818181818,44.808549,-0.571085,cas_32
6,prolaques_109175_reparation,street,,Route de la Baronne,6640,06122,Saint-Jeannet,,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",0.7883195348837209,43.744164,7.176828,cas_32
7,m_siad_mohamed_222357_reparation_0619767450,locality,,,84700,84129,Sorgues,,"84, Vaucluse, Provence-Alpes-Côte d'Azur",0.9520145454545452,44.012857,4.875429,cas_32
8,mmdpapillonne_7211_reparation_0673360643,housenumber,9,Allée de Bretagne,69005,69385,Lyon,Lyon 5e Arrondissement,"69, Rhône, Auvergne-Rhône-Alpes",0.8806118181818181,45.748151,4.782628,cas_32
9,pastel_mediterranee_108698_reparation,housenumber,27,Avenue des Oliviers,6800,06027,Cagnes-sur-Mer,,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",0.968611818181818,43.65894,7.164994,cas_32
10,guillaume_16826_reparation,housenumber,645,Route des Pugets,6700,06123,Saint-Laurent-du-Var,,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",0.7982136363636363,43.688034,7.183697,cas_32
11,naulleau_christian_67159_reparation,street,,Rue saint-luc,85000,85155,Mouilleron-le-Captif,,"85, Vendée, Pays de la Loire",0.839640909090909,46.721374,-1.46708,cas_32
12,zozio_by_lexou_186432_reparation_0782899588,housenumber,130,Rue de la Mer Rouge,68200,68224,Mulhouse,,"68, Haut-Rhin, Grand Est",0.8855944522144521,47.743303,7.294308,cas_32
13,sourisseau_laurence_134062_reparation_0616301188,street,,Rue Paul Bert,72600,72180,Mamers,,"72, Sarthe, Pays de la Loire",0.4138472727272727,48.349572,0.369394,cas_32
14,atelier_du_jardin_176222_reparation,housenumber,180,Allee des Esclapieres,83440,83124,Seillans,,"83, Var, Provence-Alpes-Côte d'Azur",0.6561763636363637,43.586073,6.644577,cas_32
15,sarl_stc_178580_reparation,street,,Chemin du Pied,5340,05101,Vallouise-Pelvoux,,"05, Hautes-Alpes, Provence-Alpes-Côte d'Azur",0.7842845454545454,44.853985,6.480988,cas_32
16,jegard_jocelyn_181087_reparation_0613914598,housenumber,1612,Rd26 - Route de Cavaillon,13440,13018,Cabannes,,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",0.8527667099567099,43.849322,4.965372,cas_32
17,les_doigts_dans_le_cuir_68969_reparation_0682384967,housenumber,2,Rue des Mazières,49700,49003,Tuffalun,,"49, Maine-et-Loire, Pays de la Loire",0.9468745454545454,47.272715,-0.324304,cas_32
18,allroad_214141_reparation_0626330391,housenumber,102,Rue des Freres Lumiere,93330,93050,Neuilly-sur-Marne,,"93, Seine-Saint-Denis, Île-de-France",0.9173504278074864,48.866423,2.517404,cas_32
19,fleurs_en_bijou_179734_reparation,housenumber,89,Chemin du Mas Calendau,13150,13108,Tarascon,,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",0.6675465289256197,43.752348,4.648879,cas_32
20,t2m_technique__maintenance__multiservices_219509_reparation,housenumber,56,Av du Vieu Chemin de Saint Denis,92230,92036,Gennevilliers,,"92, Hauts-de-Seine, Île-de-France",0.9188187012987012,48.932525,2.313745,cas_32
21,sarl_morellet_164746_reparation_0545970445,housenumber,2,Impasse de la Fontaine,16120,16050,Bonneuil,,"16, Charente, Nouvelle-Aquitaine",0.93651,45.579513,-0.13182,cas_32
22,ozturk_nilay_125817_reparation_0632459844,housenumber,43,Avenue Jean Jaurès,27600,27275,Gaillon,,"27, Eure, Normandie",0.9636090909090907,49.155671,1.344687,cas_32
23,latelier_dannie_60747_reparation_0232579911,housenumber,21,Rue de la Mairie,27260,27415,Morainville-Jouveaux,,"27, Eure, Normandie",0.9432981818181816,49.22228,0.44551,cas_32
24,repair_cafe_yvelines_et_les_environs_78_1588_initiatives_locales,housenumber,1,Place du Coeur Battant,95490,95637,Vauréal,,"95, Val-d'Oise, Île-de-France",0.6992513286713286,49.030119,2.021182,cas_31
25,gillot_christian_176894_reparation_0233387717,street,,Le Rossignol,61350,61324,Passais Villages,,"61, Orne, Normandie",0.9424954545454544,48.498981,-0.775739,cas_32
26,entreprise_creiche_136220_reparation_0254794464,housenumber,3,Rue des Sablons,41120,41032,Chailles,,"41, Loir-et-Cher, Centre-Val de Loire",0.9516463636363636,47.512221,1.301712,cas_32
27,provence_soudage_18136_reparation_0494877169,street,,Avenue de Bruxelles,83500,83126,La Seyne-sur-Mer,,"83, Var, Provence-Alpes-Côte d'Azur",0.9720545454545456,43.113008,5.851172,cas_32
28,rouziou_katia_71208_reparation_0240648004,housenumber,33,Rue des Grands Champs,44210,44131,Pornic,,"44, Loire-Atlantique, Pays de la Loire",0.9671045454545454,47.117595,-2.055127,cas_32
29,gaspard_sports_2742_reparation,street,,Pl du Capitaine Bulle,73270,73034,Beaufort,,"73, Savoie, Auvergne-Rhône-Alpes",0.8303017016317016,45.686637,6.569416,cas_32
30,cordonnerie_multiservices_la_guillebot_69221_reparation_0241744436,street,,Avenue Gallieni,49130,49246,Les Ponts-de-Cé,,"49, Maine-et-Loire, Pays de la Loire",0.964510909090909,47.434306,-0.526043,cas_32
31,lacassis_couture_196965_reparation_0677491644,housenumber,6,Rue Laplace,71420,71132,Ciry-le-Noble,,"71, Saône-et-Loire, Bourgogne-Franche-Comté",0.9538236363636364,46.630453,4.280404,cas_32
32,loic_jacquemot_piano_104733_reparation_0631952036,street,,Allee des Fougeres,1480,01398,Savigneux,,"01, Ain, Auvergne-Rhône-Alpes",0.9444727272727272,46.000825,4.840627,cas_32
33,t_e_g_france_164072_reparation_0559853130,housenumber,25,Rue Bazter,64210,64035,Arbonne,,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",0.7820481818181818,43.445743,-1.542462,cas_32
34,duval_mario_137441_reparation,housenumber,50,Boulevard de la Liberté,18000,18033,Bourges,,"18, Cher, Centre-Val de Loire",0.9722081818181816,47.073781,2.402452,cas_32
35,garage_raymond_11303_reparation_0471780534,street,,Avenue de Collandres,15400,15162,Riom-ès-Montagnes,,"15, Cantal, Auvergne-Rhône-Alpes",0.9574545454545452,45.275638,2.661222,cas_32
36,multi_services_express_181442_reparation,street,,Avenue Denis Semeria,6300,06088,Nice,,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",0.9777909090909088,43.715326,7.288761,cas_32
37,demezet_odile_70358_reparation_0672732989,housenumber,4,Rue d'Allonville,44000,44109,Nantes,,"44, Loire-Atlantique, Pays de la Loire",0.9833727272727272,47.223394,-1.533227,cas_32
38,mme_cavaliere_maeva_180133_reparation_0761662132,housenumber,55,Avenue de Cannes,6160,06004,Antibes,,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",0.6394863157894737,43.573828,7.090567,cas_32
39,atelier_malak_176525_reparation_0676422589,housenumber,11,Avenue Bataillon Carmagnole Liberté,69120,69256,Vaulx-en-Velin,,"69, Rhône, Auvergne-Rhône-Alpes",0.889272033898305,45.758901,4.925251,cas_32
40,arthor_sarl_177595_reparation_0494149354,street,,Avenue de l'Université,83160,83144,La Valette-du-Var,,"83, Var, Provence-Alpes-Côte d'Azur",0.9672672727272728,43.136872,6.006115,cas_32
41,ets_oreilly_161878_reparation_0556669729,housenumber,28,Rue Edmond Daubric,33470,33199,Gujan-Mestras,,"33, Gironde, Nouvelle-Aquitaine",0.9275890476190476,44.640058,-1.068596,cas_32
42,sati_194453_reparation_0785720547,housenumber,2,Promenade Bougainville,59200,59599,Tourcoing,,"59, Nord, Hauts-de-France",0.9652354545454545,50.723963,3.166902,cas_32
43,l_atelier_bash_169921_reparation_0638431071,housenumber,31,Route du Grand Mur,24190,24309,Neuvic,,"24, Dordogne, Nouvelle-Aquitaine",0.7929352892561983,45.109014,0.461592,cas_32
44,cordonnerie_mesnard_57744_reparation_0622358408,housenumber,40,Avenue du 8 Mai 1945,60000,60057,Beauvais,,"60, Oise, Hauts-de-France",0.9705172727272726,49.44223,2.095289,cas_32
45,ferronnerie_chaudronnerie_entret_51870_reparation,housenumber,18,Rue Guy de Maupassant,13170,13071,Les Pennes-Mirabeau,,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",0.8461257912457911,43.418864,5.283984,cas_32
46,bouchot_kris_16344_reparation_0669901000,street,,Place Masséna,6000,06088,Nice,,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",0.9729372727272726,43.697682,7.270222,cas_32
47,devoucoux_informatique_222131_reparation_0638447668,housenumber,1588,Route de Grasse,6600,06004,Antibes,,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",0.9756072727272724,43.597645,7.090014,cas_32
